user_id,date,url,seconds
0,10/27/2021,/keyboard.html,159
0,3/15/2021,/blender.html,15
0,7/29/2021,/keyboard.html,11
0,1/27/2021,/laptop.html,142
1,3/1/2021,/keyboard.html,78
2,7/22/2021,/blender.html,80
2,4/24/2021,/cleats.html,138
2,8/12/2021,/keyboard.html,86
2,10/4/2021,/blender.html,128
6,8/7/2021,/keyboard.html,79
6,8/3/2021,/tablet.html,47
6,10/10/2021,/blender.html,130
6,11/14/2021,/keyboard.html,125
6,10/9/2021,/laptop.html,34
6,9/24/2021,/blender.html,136
6,6/4/2021,/laptop.html,41
8,1/25/2021,/laptop.html,111
8,6/29/2021,/blender.html,11
8,9/24/2021,/tablet.html,8
8,11/5/2021,/cleats.html,39
8,10/24/2021,/tablet.html,122
8,5/20/2021,/tablet.html,129
9,7/19/2021,/blender.html,97
12,1/14/2021,/blender.html,117
12,8/26/2021,/cleats.html,59
12,2/29/2021,/laptop.html,124
12,3/16/2021,/tablet.html,123
12,10/20/2021,/laptop.html,151
12,5/9/2021,/cleats.html,68
12,1/29/2021,/blender.html,142
13,4/8/2021,/keyboard.html,116
13,2/5/2021,/cleats.html,166
13,6/20/2021,/tablet.html,55
13,11/24/2021,/laptop.html,20
13,11/21/2021,/laptop.html,88
13,2/25/2021,/blender.html,83
14,2/20/2021,/cleats.html,147
15,7/3/2021,/laptop.html,161
15,11/19/2021,/cleats.html,129
16,2/18/2021,/keyboard.html,1
16,6/1/2021,/cleats.html,149
16,3/8/2021,/cleats.html,79
17,10/16/2021,/keyboard.html,81
17,9/18/2021,/blender.html,120
17,1/24/2021,/keyboard.html,44
17,4/11/2021,/laptop.html,170
18,11/13/2021,/tablet.html,167
18,10/22/2021,/tablet.html,157
18,9/3/2021,/cleats.html,78
19,5/5/2021,/keyboard.html,38
19,4/26/2021,/keyboard.html,16
19,7/27/2021,/tablet.html,134
19,4/13/2021,/cleats.html,180
19,10/16/2021,/laptop.html,141
19,5/24/2021,/cleats.html,25
20,5/20/2021,/cleats.html,133
20,6/4/2021,/laptop.html,129
20,4/8/2021,/tablet.html,113
20,5/12/2021,/blender.html,91
20,10/20/2021,/tablet.html,153
20,6/22/2021,/tablet.html,130
20,10/17/2021,/cleats.html,66
21,8/10/2021,/laptop.html,88
21,6/7/2021,/cleats.html,158
21,4/22/2021,/keyboard.html,112
21,8/29/2021,/tablet.html,148
22,4/17/2021,/cleats.html,72
22,11/18/2021,/laptop.html,102
22,9/15/2021,/tablet.html,4
22,10/4/2021,/laptop.html,106
22,11/4/2021,/laptop.html,19
23,11/27/2021,/tablet.html,57
23,6/3/2021,/blender.html,84
23,6/20/2021,/cleats.html,35
23,10/5/2021,/keyboard.html,39
23,5/19/2021,/keyboard.html,39
26,7/9/2021,/tablet.html,57
27,5/18/2021,/blender.html,105
27,11/25/2021,/keyboard.html,160
27,8/27/2021,/laptop.html,112
27,8/17/2021,/blender.html,100
27,4/4/2021,/laptop.html,57
27,6/10/2021,/keyboard.html,34
27,4/15/2021,/blender.html,154
28,4/8/2021,/tablet.html,71
29,8/16/2021,/keyboard.html,104
29,11/10/2021,/keyboard.html,159
30,7/15/2021,/laptop.html,143
30,6/6/2021,/tablet.html,69
30,6/25/2021,/tablet.html,83
30,9/3/2021,/tablet.html,150
31,8/25/2021,/keyboard.html,127
31,4/8/2021,/tablet.html,7
32,1/19/2021,/keyboard.html,180
32,1/2/2021,/cleats.html,171
32,3/23/2021,/tablet.html,60
32,1/29/2021,/laptop.html,134
32,4/3/2021,/tablet.html,66
32,3/23/2021,/tablet.html,94
32,8/10/2021,/tablet.html,58
33,9/18/2021,/laptop.html,96
33,7/15/2021,/cleats.html,168
35,6/22/2021,/tablet.html,63
35,6/6/2021,/cleats.html,177
35,10/25/2021,/keyboard.html,91
35,9/5/2021,/laptop.html,54
35,6/15/2021,/keyboard.html,177
35,6/9/2021,/keyboard.html,55
35,7/8/2021,/blender.html,44
36,8/12/2021,/blender.html,31
36,6/11/2021,/cleats.html,106
36,9/24/2021,/keyboard.html,161
37,8/4/2021,/laptop.html,57
37,6/12/2021,/keyboard.html,121
37,11/10/2021,/blender.html,10
37,10/13/2021,/blender.html,7
38,9/2/2021,/laptop.html,103
38,10/20/2021,/laptop.html,2
38,7/1/2021,/keyboard.html,105
38,9/13/2021,/tablet.html,116
38,6/26/2021,/laptop.html,144
39,4/2/2021,/cleats.html,101
39,8/13/2021,/keyboard.html,131
40,7/14/2021,/cleats.html,173
40,6/9/2021,/cleats.html,156
40,1/8/2021,/laptop.html,5
40,6/5/2021,/cleats.html,177
40,6/16/2021,/blender.html,16
40,6/13/2021,/blender.html,159
40,4/6/2021,/blender.html,103
41,10/12/2021,/keyboard.html,147
41,8/18/2021,/keyboard.html,145
41,1/2/2021,/laptop.html,116
41,8/14/2021,/tablet.html,111
41,4/25/2021,/tablet.html,120
